"","dataverse","id","identifier","persistentUrl","protocol","authority","publisher","publicationDate","versionState","lastUpdateTime","releaseTime","createTime","license","termsOfUse","title","author","datasetContact","dsDescription","notesText","subject","productionDate","productionPlace","depositor","dateOfDeposit","downloadCount","contentSize (MB)"
"1","utexas","41","PQIEBO","https://doi.org/10.5072/FK2/PQIEBO","doi","10.5072/FK2","Texas Data Repository Dataverse","2015-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"2","utexas","97","U9YONH","https://doi.org/10.5072/FK2/U9YONH","doi","10.5072/FK2","Texas Data Repository Dataverse","2015-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"3","utexas","150","8FSKOE","https://doi.org/10.5072/FK2/8FSKOE","doi","10.5072/FK2","Texas Data Repository Dataverse","2016-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"4","utexas","594","Z3J5L8","https://doi.org/10.18738/T8/Z3J5L8","doi","10.18738/T8","Texas Data Repository Dataverse","2016-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"5","chatino","399","WE2CRT","https://doi.org/10.18738/T8/WE2CRT","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:38:18Z","2018-03-18T00:38:18Z","2017-11-09T02:23:47Z","CC0","CC0 Waiver","Algunas isoglosas chatinas","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Handout for a presentation given at LARGA, a linguistics and linguistic anthropology students' group at the University of Texas at Austin. - 2010-11-04",NA,"Social Sciences","2010-11-04","Austin, Texas, USA","Sullivant, John","2017-11-08","2","0.6260747909545898"
"6","chatino","400","ASJ3RA","https://doi.org/10.18738/T8/ASJ3RA","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:37:46Z","2018-03-18T00:37:46Z","2017-11-09T02:49:52Z","CC0","CC0 Waiver","Sandhi tonal en el chatino oriental de San Marcos Zacatepec","Villard, Stéphanie - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Materials relating to a presentation given at the Coloquio sobre Lenguas Otomangues y Vecinas (COLOV) in Oaxaca, Mexico. - 2017-11-08",NA,"Social Sciences, Other","2012-04-20","Austin, Texas, USA","Sullivant, John","2017-11-08","0","6.3524370193481445"
"7","chatino","401","RREJJF","https://doi.org/10.18738/T8/RREJJF","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:37:07Z","2018-03-18T00:37:07Z","2017-11-09T02:56:24Z","CC0","CC0 Waiver","On the internal classification of Chatino","Woodbury, Anthony C. - University of Texas at Austin - https://orcid.org/0000-0001-9189-4473","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A manuscript describing the Chatino Language Documentation Project's understanding ca. 2009 of the subdivision of the Chatino languages.  - 2009-02-15",NA,"Social Sciences, Other","2009-02-15","Austin, Texas, USA","Sullivant, John","2017-11-08","0","0.061377525329589844"
"8","chatino","402","1NPB8F","https://doi.org/10.18738/T8/1NPB8F","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:36:44Z","2018-03-18T00:36:44Z","2017-11-09T03:01:45Z","CC0","CC0 Waiver","Dos causativos chatinos: su semántica y desarrollo diacrónico","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","Handout for a presentation given at the Coloquio sobre Lenguas Otomangues y Vecinas in Oaxaca, Mexico about two transitivizing morphemes found in the Chatino languages. - 2017-11-08",NA,"Other","2012-04-20","Austin, Texas, USA","Sullivant, John","2017-11-08","0","0.5950164794921875"
"9","chatino","426","Z4WIUV","https://doi.org/10.18738/T8/Z4WIUV","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:36:19Z","2018-03-18T00:36:19Z","2017-12-15T20:48:10Z","CC0","CC0 Waiver","The comparative tonology of Chatino: A prolegomenon","Campbell, Eric - University of Texas at Austin ; Campbell, Eric - University of Texas at AustinWoodbury, Anthony C. - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A handout for a talk given at a meeting of the Society for the Study of the Indigenous Languages of the Americas in Baltimore, MD on January 9, 2010. The paper discusses an early attempt at reconstructing the tonal phonology of the modern Chatino languages.",NA,"Social Sciences, Other","2010","Mexico and United States","Sullivant, John","2017-12-15","0","0.6898469924926758"
"10","chatino","427","LWKNHE","https://doi.org/10.18738/T8/LWKNHE","doi","10.18738/T8","Texas Data Repository Dataverse","2018-03-17","RELEASED","2018-03-18T00:35:56Z","2018-03-18T00:35:56Z","2017-12-15T20:56:01Z","CC0","CC0 Waiver","Clasificación de verbos en el chatino de Zenzontepec y sus ramificaciones en el zapotecano","Campbell, Eric - University of Texas at Austin","Sullivant, John - University of Texas at Austin - sullivant@austin.utexas.edu","A paper prepared for the Coloquio María Teresa Fernández de Miranda. In this paper, a verb classification chiefly on the basis of each stem's choice of aspect and mood prefix allomorph is presented. This classification would later be developed further in the author's Ph.D. thesis and in an article in the International Journal of American Linguistics.",NA,"Social Sciences, Other","2009","Mexico and United States","Sullivant, John","2017-12-15","0","0.16642379760742188"
